,Enflasyon Belirsizliği,Kredi2,USD/TL,Motorin,Zam,ParaArzi,İşsizlik,TÜFE
2014-02-28,0.31,2.2148190055701824,3.0334774315401436,2.2839418244634757,0.0,1.8771685409052792,9.5,0.42819217264709053
2014-03-31,0.16,1.1601714316038736,2.465777521625956,-0.296098581488341,0.0,1.0177012592224477,9.5,1.1256075722691383
2014-04-30,0.23,0.1265753145161271,-1.3447238026491393,-4.246240456681738,0.0,0.29525084302666943,9.7,1.344970064929596
2014-05-31,0.26,0.464969592890981,-1.8597144107861951,-3.3879811657624774,0.0,-0.10891040608357698,9.7,0.3952240296209997
2014-06-30,0.32,1.1025909125299178,-1.5858131758903715,1.0940519039212726,0.0,0.5414654017619572,9.7,0.3107906514172143
2014-07-31,0.28,1.1712493266640145,-0.13876572647902874,1.4075036820980658,5.322695035460989,1.1258587686588866,9.9,0.45441401247572344
2014-08-31,0.29,1.1275919874235374,1.0667704829067093,-0.059633802588615614,0.0,1.4628159705210104,10.2,0.09458403585969055
2014-09-30,0.21,1.2491266619830539,1.3744282363733262,-0.5974837996842008,0.0,1.396482977026044,10.1,0.13968775677897227
2014-10-31,0.61,1.3638592715123317,2.1548128995388716,-1.5714407212915005,0.0,0.6796499856885204,10.4,1.8995651103635103
2014-11-30,0.3,1.5235591621742002,1.1374681780921048,-2.4874752466387484,0.0,0.6339629399871686,10.5,0.1811813020896169
2014-12-31,0.22,1.6285534355756563,1.2556535841592442,-4.894325824504319,0.0,0.8506145119584363,10.3,-0.4420866489831976
2015-01-31,0.37,2.133255009628295,1.032913657827117,-6.384063013370394,6.513809860498543,1.0889085510576917,10.5,1.1020507024059434
2015-02-28,0.17,2.454696100146488,3.235828707153532,-0.5924353224281087,0.0,1.8930427501215947,10.7,0.7147135156718054
2015-03-31,0.2,2.19908563441061,4.188580424219168,1.995824932573792,0.0,1.7177666776048595,10.5,1.185379004123055
2015-04-30,0.31,2.3688489058756166,4.340935508313093,0.5898828783486632,0.0,2.6235360972277486,10.5,1.6299024409356155
2015-05-31,0.26,1.8246001624829589,2.4836881342079398,3.4178762224302606,0.0,2.0612996582959044,10.2,0.5628590153822666
2015-06-30,0.34,1.6693226694365497,1.489015871755539,2.1671078682731326,0.0,1.7619668642365232,10.2,-0.5137051945562687
2015-07-31,0.25,1.7147996966966266,0.580858964175146,-1.6592872897669197,5.423203767899087,1.5364446166723205,10.1,0.0886285692266231
2015-08-31,0.18,1.9827209676105184,2.479653956087313,-2.4872923442341097,0.0,2.0071439840523952,10.1,0.4004004004003914
2015-09-30,0.26,1.7319017614472039,3.6591108875106304,0.21275027878410735,0.0,2.586290851484866,10.2,0.8934734258762234
2015-10-31,0.43,0.8596093511806457,2.750590905613093,0.6249759173650227,0.0,1.1251099337000303,10.2,1.554482915890687
2015-11-30,0.22,0.3188752153980586,0.2932849550341565,-2.185919514336537,0.0,0.3618976931848243,10.2,0.6661676646706693
2015-12-31,0.34,0.18914116325835506,-0.9710554853495035,-3.940562543272658,0.0,-0.6324811894128923,10.4,0.20819391776341067
2016-01-31,0.44,0.5033183945420886,0.887446432364758,-4.6337766075338855,30.02878445639354,0.43900367243251415,10.2,1.8179119982191905
2016-02-29,0.23,0.7741822163505274,0.7885964437177817,-1.985356081204698,0.0,0.7320574157522112,10.1,-0.021862702229991093
2016-03-31,0.23,0.3846023000090071,-0.2875279417154819,2.001667883131797,0.0,0.9825247751491887,10.2,-0.04009038559662503
2016-04-30,0.4,0.36812444045729215,-1.9481897927597247,2.151691408499401,0.0,0.7494877919948628,10.1,0.7838990775513199
2016-05-31,0.25,0.9051804442002561,-0.16239098048214107,2.9765847871341067,0.0,1.1170288024969184,10.3,0.5788293177049209
2016-06-30,0.32,1.0815326710198396,0.29177427292874647,3.8598945098272996,0.0,1.0947463320284105,10.7,0.47118912308468097
2016-07-31,0.2,1.1524279095687984,1.4151252803946468,0.43350335145335706,0.0,1.4455736365874532,11.1,1.1634983711022784
2016-08-31,0.3,0.47439140222524195,0.41219207788154577,-1.3999839007452441,0.0,0.8289022863889514,11.1,-0.29018331092079963
2016-09-30,0.22,0.9315511933494077,0.4877931348199027,2.724064282374611,0.0,0.846807780996491,11.6,0.181005110732535
2016-10-31,0.49,1.0431844096328617,1.243328257322518,6.040660917845642,0.0,1.0294466630279626,11.5,1.4383391788004296
2016-11-30,0.23,2.1204252483156307,3.387575325070591,2.440161497786969,0.0,2.1860712575117347,11.6,0.5168861104320355
2016-12-31,0.32,1.979895980254039,5.689294576780002,2.8152169095604416,0.0,2.543940029591988,12.1,1.6434453285153472
2017-01-31,0.43,3.1111482285041347,6.788464956591578,5.428661476103969,7.922428304598794,2.62488945907852,12.0,2.461201886921449
2017-02-28,0.38,1.136481216452856,3.8597158160827094,2.494449916134067,0.0,0.6742802205690198,11.9,0.8107026089277491
2017-03-31,0.29,1.4763889076372496,1.6244778373247115,-1.1297131926018,0.0,0.8458033716525722,11.9,1.0159843796538448
2017-04-30,0.33,0.4369428355984121,-0.7321064103727348,-0.7955788075724946,0.0,0.8133700415979014,11.6,1.3071681299960725
2017-05-31,0.33,1.863595009962049,-0.9872342407595602,-0.7215149870421711,0.0,2.028935076317088,11.1,0.4462697668402127
2017-06-30,0.27,1.7077092108988372,-1.3501317606179675,-2.267329750888225,0.0,1.4619816613033576,11.0,-0.26721612311260134
2017-07-31,0.23,1.557046234549923,-0.8750367015140648,-0.3870709122970162,0.0,1.0716307628851007,10.6,0.14849247853316871
2017-08-31,0.22,1.199567392915794,-0.4827607213835905,2.058909025572342,0.0,0.907748051296157,10.5,0.5189530685920651
2017-09-30,0.22,1.2635053007925185,-0.48108612643158466,2.1843685527344836,0.0,1.019158107302176,10.3,0.6509539842873169
2017-10-31,0.4,1.8152140875476563,0.9715704593831198,2.415838973588491,0.0,1.7251417906089344,10.3,2.07722696571937
2017-11-30,0.28,2.2031078277031955,3.444358321973673,4.098032233844617,0.0,2.1594106551133065,10.1,1.4918851435705482
2017-12-31,0.43,1.631132432636151,3.448381937821643,2.9083430493443196,0.0,1.5407290783727194,9.9,0.6857740328433559
2018-01-31,0.44,0.9853530097710136,0.96629722673236,1.1365447923644911,14.177456803840283,0.46926167550802217,9.8,1.0201276686722993
2018-02-28,0.23,0.4780549850487592,-0.8785440186773186,0.32516769908640386,0.0,0.06372802659874906,10.0,0.7316704459561674
2018-03-31,0.17,1.2092974669630996,0.2910234548382684,0.419656510276889,0.0,1.1090955770099664,10.0,0.9934868085361925
2018-04-30,0.31,1.645550137047554,2.464434355260159,3.8417723591202657,0.0,2.1083972507597672,10.2,1.8723252496433584
2018-05-31,0.35,3.299612799943153,5.430801206979008,4.356168720789677,0.0,3.778142980690724,10.6,1.6220316237820276
2018-06-30,0.5,2.6146949639133776,6.051882844942336,1.8611200000882566,0.0,2.496153065413694,10.7,2.6123901934891336
2018-07-31,0.53,2.685202502617249,5.29886260539052,0.4940930466359017,0.0,2.5808914416215765,10.8,0.5511414503133416
2018-08-31,0.71,4.054363885959034,9.54341381532673,2.5048762162511395,0.0,4.606659850063144,11.2,2.2954286191257944
2018-09-30,0.77,2.688690387073518,11.509402384101408,5.188751059541696,0.0,4.181928599319992,11.5,6.304738073219807
2018-10-31,1.11,0.6135961986762691,6.597601366535044,3.13683467785586,0.0,2.4503596491353066,11.6,2.6686111963974968
2018-11-30,0.57,-3.3223964163628685,-1.986512183322986,0.2777177304619405,0.0,-3.131231874981877,12.2,-1.4429187330226467
2018-12-31,0.6,-1.9653003583963902,-6.027014944947895,-3.3730289101717155,0.0,-1.4749877078376568,12.7,-0.40457165975523735
2019-01-31,0.55,-0.9624194760646653,-2.9625249118811925,-3.073412622283905,26.0604321572933,-0.40867421835770007,13.6,1.0637757692698369
2019-02-28,0.44,0.15188949178154246,-0.6943847005840054,1.5364871619154674,0.0,1.373183842419164,13.8,0.16077574295978447
2019-03-31,0.34,1.3920486471892808,0.852122525990362,3.437160067794809,0.0,2.1681713731628895,13.9,1.0283163201324275
2019-04-30,0.58,2.2266242449769784,2.2793700005250273,2.501859376957216,0.0,3.0284194950194334,13.8,1.6931059308358698
2019-05-31,0.43,2.086896190162305,4.789671529522588,0.971201708484426,0.0,3.298161440356965,13.7,0.9496374777237859
2019-06-30,0.4,0.603820051165297,2.1477152817001466,-0.25959523841994625,0.0,1.4823721829771985,13.7,0.026600889920680437
2019-07-31,0.62,-0.23920316104217512,-0.36139202101294066,-0.2786489243825241,0.0,0.6110974585485041,13.9,1.3562846021806907
2019-08-31,0.46,0.07014492431806045,-2.4221451297371854,-1.0904223617450692,0.0,1.4743555306380385,14.1,0.858696689247207
2019-09-30,0.45,0.2318098364700202,-0.5794122298340976,0.07795359481637121,0.0,1.9592373718728462,14.1,0.9932835114937255
2019-10-31,0.58,0.8992216820706793,0.6605695441574078,2.173860467367572,0.0,2.3759229221567812,13.5,2.002154364930675
2019-11-30,0.27,0.8115615748443546,0.6217124846972677,0.8763085381039981,0.0,1.2968250597377977,13.3,0.3810923115774134
2019-12-31,0.27,1.6584036147673524,0.7245796206060806,0.1791840053067706,0.0,2.3954604449035966,13.4,0.7432818753573489
2020-01-31,0.29,1.7424408002857676,0.7700363835284385,0.05819355585118813,15.033400959968324,2.0050722392186713,13.0,1.350737797956869
2020-02-29,0.25,2.251187615302304,1.7913744615548177,-1.0633990206009025,0.0,2.700167745295334,12.6,0.3516631201702314
2020-03-31,0.29,2.618582535838894,2.678584810789686,-6.2478686759793955,0.0,2.7717621692095356,13.0,0.571403062363296
2020-04-30,0.43,4.426618702060573,4.928591035578189,-9.584787963737035,0.0,5.625925516813905,13.5,0.8544542589551396
2020-05-31,0.27,4.056761951725692,4.731928135765906,-3.474949391199089,0.0,4.648316786280634,13.6,1.362145985080221
2020-06-30,0.4,3.808930407227784,2.4614728126301166,4.398415350368657,0.0,4.222830676941088,13.7,1.133255177803827
2020-07-31,0.42,2.7685676106834776,0.1561830679967846,5.481744135776568,0.0,2.5153772063095254,14.2,0.5838914648806481
2020-08-31,0.26,3.132888685292334,1.4565417479111886,3.5391114687596925,0.0,3.1525268055206355,12.9,0.8643503500085359
2020-09-30,0.46,2.643251357166661,3.342428292667754,0.1108185080709867,0.0,2.826065933217334,12.6,0.9733183809060186
2020-10-31,0.57,2.4457498838192553,4.732646001550278,0.12536344728572013,0.0,2.46772420667194,13.1,2.131137235179481
2020-11-30,0.29,1.2370596727885241,3.318737439008279,3.104732352459938,0.0,1.5727566967610507,13.1,2.298001559358198
2020-12-31,0.38,0.5438630484413766,0.9119623286409917,4.132073168242423,0.0,0.5272932299515167,12.6,1.2495487183601384
2021-01-31,0.31,-0.6923658047728619,-2.0337144666135787,2.5076738633856954,21.559248250319406,-0.6025971862794997,12.3,1.6818208831045345
2021-02-28,0.32,-0.06683504594603829,-4.02692677689076,0.26921692281796084,0.0,-0.6722647484591832,13.2,0.9078511591662064
2021-03-31,0.21,1.3025977048177537,-0.41840289687375964,-0.4929387216409342,0.0,1.3472702118732087,12.8,1.0753726156459864
2021-04-30,0.44,2.07987876287717,3.4445693197434624,-1.4765871529766328,0.0,2.381196869801624,13.4,1.678986877542843
2021-05-31,0.34,1.9507621729770568,5.556001126327148,1.3914842654866921,0.0,3.940182055739813,13.4,0.8885632702133828
2021-06-30,0.48,1.2768411367014043,4.014177468606106,5.872544601225815,0.0,2.9977784490582127,11.0,1.9420910529746038
2021-07-31,0.35,0.5468235258908712,1.8248259572295478,3.6349964445864247,0.0,2.4125181611026396,11.6,1.8046321326806503
2021-08-31,0.36,0.5735317058130422,0.5222683386941318,0.32477392699322705,0.0,1.23739955990887,12.0,1.1195636572412848
2021-09-30,0.39,0.9819648038842644,-0.33013905940977306,0.3740698637004325,0.0,1.7585752160006172,11.3,1.2526614620298027
2021-10-31,0.49,2.365610285946832,2.0584976284189427,3.398887562944841,0.0,3.4032731094963378,11.1,2.3937195527985233
2021-11-30,0.5,5.760481359954075,7.836812638341772,8.381375704477156,0.0,8.01846298109988,11.1,3.5117743702081095
2021-12-31,1.23,4.903957781049742,17.805175005867447,16.641419489075894,0.0,8.422877221992886,11.0,13.575491038952459
2022-01-31,2.63,4.2182533547386285,13.194044327062926,26.40417089022088,50.51488021515267,7.517200970397379,11.1,11.104156052114412
2022-02-28,2.04,2.0109547058561197,8.245375870599991,20.842307725397845,0.0,4.207054762497653,10.7,4.808511195838738
2022-03-31,1.53,3.7332370604821197,2.550142444004666,22.35106170642954,0.0,4.312294107883779,11.1,5.464228119960501
2022-04-30,1.11,4.134938699255083,2.791714168139192,18.57447959859536,0.0,4.076245352046552,10.9,7.248352377791467
2022-05-31,1.52,5.065393015537745,4.671724890061313,3.887123459783215,0.0,4.966189693083912,10.9,2.980802175090358
2022-06-30,1.28,4.974344103222225,5.34642829144758,14.637380294437808,0.0,5.133007644447715,10.2,4.951918949085599
2022-07-31,1.13,5.15186327380716,5.719735077423227,9.500007274278843,29.316546762589944,5.706835432850281,10.2,2.365272522752848
2022-08-31,0.75,3.480010217347695,4.744374486265945,-7.261813186373695,0.0,4.81231309817709,9.8,1.4604956894398669
2022-09-30,0.88,2.7529052229530095,2.515431609796215,-2.1380571915941506,0.0,3.9160766749162694,10.1,3.0758627479939182
2022-10-31,0.72,2.5789875829782614,2.193669000930809,4.480866443203569,0.0,3.7094419575459376,10.3,3.5447850299458405
2022-11-30,0.49,2.8474475898739264,1.0866513310687775,1.247067628885451,0.0,3.0380106483849816,10.1,2.8837638376383756
2022-12-31,0.73,3.2465846239345306,0.6412777538909564,-7.826081825036662,0.0,3.1331211824447323,10.3,1.1826838584724664
2023-01-31,1.15,3.347125547892863,0.3458502523870255,-4.696802383057962,54.65924895688454,2.7471598924885643,9.6,6.648943240728422
2023-02-28,0.85,3.25353780402231,0.41512487330805925,-1.6442240250482079,0.0,3.0738335560754972,10.0,3.1450460331704733
2023-03-31,0.62,3.695081180874782,0.5911540484953681,-3.639822264906062,0.0,3.3262988304070937,10.1,2.2894798321155596
2023-04-30,0.55,4.141450147189518,0.9631756411983883,-0.8529653421923189,0.0,4.075868339633241,10.1,2.385508958456395
2023-05-31,0.57,4.141952325059265,1.507585071798645,-4.612617530079216,0.0,2.7402868117725454,9.6,2.923075597673914
2023-06-30,1.22,4.772326915175788,7.066073268456585,2.859056487464251,0.0,6.353633261550485,9.4,3.920498231585423
2023-07-31,1.33,4.2901185347667665,11.47524057354552,24.6469049118773,34.03782856068087,6.69107265358702,9.3,9.488824273633266
2023-08-31,1.25,3.647427114507932,10.505114395285053,31.104206505327234,0.0,8.618124961408538,9.2,9.086793166828855
2023-09-30,1.59,2.0934050303930065,5.071341531941065,15.854822903406836,0.0,4.467250310301974,9.1,4.753114333678177
2023-10-31,0.79,1.8279260254677816,1.7099106737218817,2.112273809367101,0.0,3.604872413362885,8.5,3.433981455199153
2023-11-30,0.68,2.544935711198478,2.0015406362686283,-1.6102879824079965,0.0,2.7655066605189504,9.0,3.2810972437411046
2023-12-31,0.58,2.6535092379150083,2.4983149532846527,-3.2019732080717547,0.0,3.311887931049751,8.8,2.9272073069471327
2024-01-31,1.21,2.531626190554759,2.580278882718967,1.9730303058306162,49.10987491153125,2.523891509957488,9.0,6.703309705385663
2024-02-29,0.94,2.5976827401844593,2.4182181282801363,7.91814101768122,0.0,2.2642929797137117,8.7,4.529188213828506
2024-03-31,0.64,3.0094141807012718,3.2394579257485567,2.9439661220253726,0.0,1.6187232460027259,8.6,3.162670935637535
2024-04-30,0.55,3.023668316683081,2.4522824637484897,-0.4700821377757216,0.0,1.9486926172104686,8.6,3.179759473140553
2024-05-31,0.47,2.9791925670766015,1.5655260703565155,-0.8930890398891813,0.0,2.0794525651699414,8.5,3.36806342015854
2024-06-30,0.48,2.370768413642003,0.5535105540234841,-1.484263179913923,0.0,2.286700073093344,9.2,1.6407739334312055
2024-07-31,0.6,2.223251390200779,0.5819124912934237,4.704759272440903,0.0,2.4324472580258427,8.8,3.2255560969089547
2024-08-31,0.49,2.3152950480059533,1.406220561343452,3.5346646664374,0.0,3.0924082101934616,8.6,2.474416273338642
2024-09-30,0.36,2.2828599538366876,1.5239069259014304,-2.6667224300420553,0.0,2.6872853831936503,8.7,2.9681984559824404
2024-10-31,0.37,2.112666189557418,1.3308173098647957,-0.9297212488059137,0.0,2.110391185723619,8.8,2.8798650916806556
2024-11-30,0.34,1.74104713687937,0.7904765104822076,0.9946364012728321,0.0,1.4081085351058829,8.8,2.2440176843369075
2024-12-31,0.34,1.8832537689639584,0.7372403817845985,0.5601499999999955,0.0,0.006056647555122918,8.8,0.0
2024-12-31,0.34,1.982128854517251,0.7372403817845985,0.5601499999999955,0.0,0.006056647555122918,8.78159991870971,0.0
2025-01-31,0.5257446284541449,2.445927824566389,1.1468621413434965,3.7420328117156676,35.0,0.44805489336717536,8.8,0.0
2025-02-28,0.4101143321794309,2.635558962685189,1.3292854688761402,1.8368619277831177,0.0,1.055997429393411,8.820703042692147,0.0
2025-03-31,0.30157251879264874,2.6875209582243578,0.9537369515389527,1.557551013756675,0.0,1.4901636658046964,8.853484471667736,0.0
2025-04-30,0.30834267099898094,2.6844822543986893,1.1273739139041838,1.2423521788650915,0.0,1.6811265822911465,8.914346817973483,0.0
2025-05-31,0.2875284663780999,2.8641923442179014,1.1272618148421953,1.7126948660524999,0.0,1.4505147517325387,8.912766263313417,0.0
2025-06-30,0.35942107394054434,2.7509280032660417,1.1270133552955253,1.6209139331979205,0.0,1.1093991518302835,8.91360724197222,0.0
2025-07-31,0.3812277588775405,2.410765019632199,1.114453317567965,0.10928532122017054,0.0,0.9866397035763228,8.942933522466854,0.0
2025-08-31,0.31973246475245487,2.094403129108969,1.1081929334947782,-0.8386913569459975,0.0,0.6920512349785106,8.94261664522168,0.0
2025-09-30,0.32367461443217116,2.057953059460774,1.0960466222788678,-0.6199382483104865,0.0,0.5548987675904898,8.97137195318533,0.0
2025-10-31,0.2958155137762934,2.4261747033395857,1.0841636828529566,-1.474933966804276,0.0,0.3303709802986117,8.971520226960225,0.0
2025-11-30,0.21346066089611984,2.389619469703892,1.0667066428995398,-2.125888697665035,0.0,0.33444179226863585,8.97145669787702,0.0
2025-12-31,0.26526608396164625,2.2558025171736404,1.0554481078210332,1.1616180063714954,0.0,-0.09305543711303758,8.971490500316467,0.0
2026-01-31,0.4248636379884259,1.9800495128276847,1.0501319856479396,2.577723868343873,25.0,-0.33367600528155555,8.971520226960225,0.0
2026-02-28,0.3314207273468018,1.9069258335697459,1.0279229597548456,2.5644529052459952,0.0,-0.2889079225708076,9.028680899329002,0.0
2026-03-31,0.24370614651510952,2.425240515989156,1.006283286116072,0.0,0.0,-0.037793393054390924,9.057274380698974,0.0
2026-04-30,0.24917722760741703,2.66658627888304,0.9907233400330506,0.0,0.0,0.11298968098929178,9.085867044933707,0.0
2026-05-31,0.23235689655988012,3.037861526662239,0.9042777080421782,0.0,0.0,-0.0008831202893338311,9.085864491434917,0.0
