,CPI,Enflasyon
2007-02-28,136.42,10.158268733850107
2007-03-31,137.67,10.86326300531486
2007-04-30,139.33,10.719961856325511
2007-05-31,140.03,9.227769110764438
2007-06-30,139.69,8.59830521651248
2007-07-31,138.67,6.899475794017884
2007-08-31,138.7,7.394502516453727
2007-09-30,140.13,7.124837550645968
2007-10-31,142.67,7.699856571299146
2007-11-30,145.45,8.399165300342815
2007-12-31,145.77,8.387240687039931
2008-01-31,146.94,8.171378091872782
2008-02-29,148.84,9.104236915408315
2008-03-31,150.27,9.152320767051659
2008-04-30,152.79,9.660518194215161
2008-05-31,155.07,10.740555595229594
2008-06-30,154.51,10.609206099219692
2008-07-31,155.4,12.064613831398297
2008-08-31,155.02,11.766402307137724
2008-09-30,155.72,11.125383572397052
2008-10-31,159.77,11.985701268661963
2008-11-30,161.1,10.759711240976277
2008-12-31,160.44,10.063799135624606
2009-01-31,160.9,9.500476384919022
2009-02-28,160.35,7.7331362536952275
2009-03-31,162.12,7.885805550009972
2009-04-30,162.15,6.126055370115857
2009-05-31,163.19,5.236344876507393
2009-06-30,163.37,5.734256682415384
2009-07-31,163.78,5.392535392535391
2009-08-31,163.29,5.334795510256729
2009-09-30,163.93,5.272283585923465
2009-10-31,167.88,5.076046817299851
2009-11-30,170.01,5.530726256983232
2009-12-31,170.91,6.525804038893046
2010-01-31,174.07,8.18520820385331
2010-02-28,176.59,10.127845338322427
2010-03-31,177.62,9.560819146311372
2010-04-30,178.68,10.194264569842737
2010-05-31,178.04,9.099822293032656
2010-06-30,177.04,8.367509334639145
2010-07-31,176.19,7.577237757968014
2010-08-31,176.9,8.334864351766802
2010-09-30,179.07,9.235649362532783
2010-10-31,182.35,8.619251846557074
2010-11-30,182.4,7.28780659961179
2010-12-31,181.85,6.401029781756473
2011-01-31,182.6,4.900327454472331
2011-02-28,183.93,4.156520754289605
2011-03-31,184.7,3.986037608377435
2011-04-30,186.3,4.264607118871733
2011-05-31,190.81,7.1725454953943
2011-06-30,188.08,6.2358788974243184
2011-07-31,187.31,6.311368409103801
2011-08-31,188.67,6.653476540418302
2011-09-30,190.09,6.154017981794824
2011-10-31,196.31,7.655607348505633
2011-11-30,199.7,9.484649122807
2011-12-31,200.85,10.448171569975262
2012-01-31,201.98,10.61336254107339
2012-02-29,203.12,10.433317022780408
2012-03-31,203.96,10.427720628045488
2012-04-30,207.05,11.13794954374665
2012-05-31,206.61,8.280488444001888
2012-06-30,204.76,8.868566567418101
2012-07-31,204.29,9.06518605520259
2012-08-31,205.43,8.883235278528655
2012-09-30,207.55,9.185122836551107
2012-10-31,211.62,7.798889511486928
2012-11-30,212.42,6.36955433149724
2012-12-31,213.23,6.163803833706738
2013-01-31,216.74,7.3076542231904185
2013-02-28,217.39,7.025403702244959
2013-03-31,218.83,7.290645224553827
2013-04-30,219.75,6.133784110118312
2013-05-31,220.07,6.51468951164027
2013-06-30,221.75,8.297519046688805
2013-07-31,222.44,8.884428997993044
2013-08-31,222.21,8.16823248795211
2013-09-30,223.91,7.882437966754985
2013-10-31,227.94,7.711936489934779
2013-11-30,227.96,7.315695320591287
2013-12-31,229.01,7.400459597617592
2014-01-31,233.54,7.751222663098645
2014-02-28,234.54,7.889047334284016
2014-03-31,237.18,8.385504729698855
2014-04-30,240.37,9.38339021615473
2014-05-31,241.32,9.6560185395556
2014-06-30,242.07,9.163472378804949
2014-07-31,243.17,9.31936702032008
2014-08-31,243.4,9.536024481346473
2014-09-30,243.74,8.856236880889657
2014-10-31,248.37,8.96288496972888
2014-11-30,248.82,9.150728197929459
2014-12-31,247.72,8.169948910527935
2015-01-31,250.45,7.2407296394621845
2015-02-28,252.24,7.5466871322589
2015-03-31,255.23,7.610253815667423
2015-04-30,259.39,7.912801098306765
2015-05-31,260.85,8.092988562904036
2015-06-30,259.51,7.204527615978851
2015-07-31,259.74,6.814162931282652
2015-08-31,260.78,7.140509449465893
2015-09-30,263.11,7.946992697136301
2015-10-31,267.2,7.581430929661392
2015-11-30,268.98,8.102242585001207
2015-12-31,269.54,8.80833198772808
2016-01-31,274.44,9.578758235176688
2016-02-29,274.38,8.777354900095148
2016-03-31,274.27,7.4599380950515215
2016-04-30,276.42,6.56540344654768
2016-05-31,278.02,6.582327007858901
2016-06-30,279.33,7.637470617702591
2016-07-31,282.58,8.793408793408775
2016-08-31,281.76,8.045095482782427
2016-09-30,282.27,7.2821253468131175
2016-10-31,286.33,7.159431137724548
2016-11-30,287.81,7.000520484794404
2016-12-31,292.54,8.533056318171695
2017-01-31,299.74,9.218772773648155
2017-02-28,302.17,10.128289233909182
2017-03-31,305.24,11.29179275896015
2017-04-30,309.23,11.869618696186969
2017-05-31,310.61,11.722178260556815
2017-06-30,309.78,10.90108473848137
2017-07-31,310.24,9.788378512279717
2017-08-31,311.85,10.679301533219764
2017-09-30,313.88,11.198497892089133
2017-10-31,320.4,11.898857961093846
2017-11-30,325.18,12.98426044960217
2017-12-31,327.41,11.91973747179873
2018-01-31,330.75,10.345632881830923
2018-02-28,333.17,10.259125657742342
2018-03-31,336.48,10.23456951906696
2018-04-30,342.78,10.849529476441466
2018-05-31,348.34,12.1470654518528
2018-06-30,357.44,15.385112014978386
2018-07-31,359.41,15.849020113460544
2018-08-31,367.66,17.89642456309124
2018-09-30,390.84,24.518924429718346
2018-10-31,401.27,25.24032459425718
2018-11-30,395.48,21.618795743895692
2018-12-31,393.88,20.30176231636174
2019-01-31,398.07,20.35374149659863
2019-02-28,398.71,19.671639103160544
2019-03-31,402.81,19.712910128388007
2019-04-30,409.63,19.50230468522085
2019-05-31,413.52,18.71160360567261
2019-06-30,413.63,15.720120859444942
2019-07-31,419.24,16.646726579672233
2019-08-31,422.84,15.008431703204028
2019-09-30,427.04,9.262102138982709
2019-10-31,435.59,8.552844718020292
2019-11-30,437.25,10.56184889248508
2019-12-31,440.5,11.836092210825644
2020-01-31,446.45,12.153641319365939
2020-02-29,448.02,12.367384816031702
2020-03-31,450.58,11.85918919589881
2020-04-30,454.43,10.936698972243253
2020-05-31,460.62,11.390017411491593
2020-06-30,465.84,12.622391992843852
2020-07-31,468.56,11.764144642686759
2020-08-31,472.61,11.77040961120046
2020-09-30,477.21,11.748313975271628
2020-10-31,487.38,11.889620973851557
2020-11-30,498.58,14.026300743281862
2020-12-31,504.81,14.599318955732121
2021-01-31,513.3,14.973681263299365
2021-02-28,517.96,15.610910227222007
2021-03-31,523.53,16.190243685915927
2021-04-30,532.32,17.140153599014152
2021-05-31,537.05,16.592853111024255
2021-06-30,547.48,17.525330585608813
2021-07-31,557.36,18.951681748335325
2021-08-31,563.6,19.25266075622607
2021-09-30,570.66,19.582573709687566
2021-10-31,584.32,19.890024211087876
2021-11-30,604.84,21.31252757832245
2021-12-31,686.95,36.08090172540164
2022-01-31,763.23,48.69082407948571
2022-02-28,799.93,54.43856668468605
2022-03-31,843.64,61.144538039844896
2022-04-30,904.79,69.9710700330628
2022-05-31,931.76,73.49595009775626
2022-06-30,977.9,78.61839701906919
2022-07-31,1001.03,79.6020525333716
2022-08-31,1015.65,80.20759403832504
2022-09-30,1046.89,83.45249360389727
2022-10-31,1084.0,85.51478641840087
2022-11-30,1115.26,84.38925996957872
2022-12-31,1128.45,64.26959749617876
2023-01-31,1203.48,57.682481034550534
2023-02-28,1241.33,55.179828234970564
2023-03-31,1269.75,50.50851073917786
2023-04-30,1300.04,43.68416980735861
2023-05-31,1300.6,39.5853009358633
2023-06-30,1351.59,38.21351876469987
2023-07-31,1479.84,47.83173331468586
2023-08-31,1614.31,58.943533697632056
2023-09-30,1691.04,61.52986464671548
2023-10-31,1749.11,61.35701107011069
