,Para Arzi
2006-02-28,2.1217476797839474
2006-03-31,2.9276130783829846
2006-04-30,1.0846942242806357
2006-05-31,9.121170322948458
2006-06-30,1.4331968912716153
2006-07-31,-2.855854250854928
2006-08-31,1.5912593019755894
2006-09-30,1.596638107301418
2006-10-31,1.324863701698198
2006-11-30,2.4417003136943727
2006-12-31,2.398601835229819
2007-01-31,1.1489248594985346
2007-02-28,-0.8763079355419534
2007-03-31,3.0574487393983496
2007-04-30,0.7782919350300066
2007-05-31,2.3001863480049956
2007-06-30,1.8884719653212478
2007-07-31,0.7568317483961362
2007-08-31,2.47300642399344
2007-09-30,-1.2495504654686518
2007-10-31,0.9481801616029628
2007-11-30,0.9476032603963791
2007-12-31,2.846940463660963
2008-01-31,0.8307292290709478
2008-02-29,1.15004144357711
2008-03-31,4.614497709012366
2008-04-30,3.121904352674698
2008-05-31,-2.2351463483010647
2008-06-30,2.2076823875006646
2008-07-31,1.1286890730499266
2008-08-31,-0.3716783171028082
2008-09-30,4.665987566801744
2008-10-31,3.3951639044419446
2008-11-30,2.5185868574480352
2008-12-31,2.4015884151072697
2009-01-31,0.30214477468157863
2009-02-28,2.033776367115281
2009-03-31,0.38208197052540527
2009-04-30,-0.08869473955990248
2009-05-31,0.16752848842660484
2009-06-30,1.4495505996589442
2009-07-31,0.0592640929546695
2009-08-31,1.0720071425391886
2009-09-30,2.169674460057802
2009-10-31,0.6595887318454619
2009-11-30,2.4721718658390346
2009-12-31,2.348042054909416
2010-01-31,-0.46832765348951977
2010-02-28,1.850070268674875
2010-03-31,1.0380665515850485
2010-04-30,0.24002512174747803
2010-05-31,1.5374081418432883
2010-06-30,3.011667752801772
2010-07-31,0.39213317867248243
2010-08-31,1.2140735298816763
2010-09-30,1.7480231195851959
2010-10-31,0.344004278306409
2010-11-30,1.6103882876818965
2010-12-31,5.107746918353073
2011-01-31,-0.5856886355689372
2011-02-28,3.1216885379257153
2011-03-31,1.738087584021497
2011-04-30,0.11381237073317951
2011-05-31,2.3619326886948455
2011-06-30,2.1876521030360863
2011-07-31,0.5692848417175655
2011-08-31,1.7057769560462122
2011-09-30,-0.3663824889703071
2011-10-31,-0.5981298973010918
2011-11-30,0.7166840409235542
2011-12-31,1.6188715733149062
2012-01-31,-1.795811516806567
2012-02-29,0.2094770897734577
2012-03-31,0.5502007481026139
2012-04-30,0.7138823956466478
2012-05-31,1.2970056189525625
2012-06-30,1.5315974646563424
2012-07-31,1.0377339752894565
2012-08-31,0.6772252072708707
2012-09-30,1.5212302604751926
2012-10-31,2.009513623676207
2012-11-30,-1.207690028407682
2012-12-31,5.502129170975745
2013-01-31,0.43998095194737186
2013-02-28,-0.1330250878600503
2013-03-31,1.5930071306806903
2013-04-30,1.298702736264823
2013-05-31,2.9583535760963064
2013-06-30,1.4532979394384693
2013-07-31,2.4651003071075817
2013-08-31,2.9580340078183776
2013-09-30,1.6852205659692476
2013-10-31,0.37002066746965045
2013-11-30,1.2235066471438794
2013-12-31,3.375162147876609
2014-01-31,1.804994158625206
2014-02-28,0.4513493162140225
2014-03-31,0.7967603028281145
2014-04-30,-0.3623570899621287
2014-05-31,-0.7611344311167167
2014-06-30,2.7478877263647172
2014-07-31,1.390823010728659
2014-08-31,0.24973717446965527
2014-09-30,2.548888745879818
2014-10-31,-0.7596759632839123
2014-11-30,0.11267603736559995
2014-12-31,3.1988434617936212
2015-01-31,-0.04479384598614633
2015-02-28,2.5250786345573095
2015-03-31,2.673015244243415
2015-04-30,2.6725144128825207
2015-05-31,0.8383693177617779
2015-06-30,1.7750168620652707
2015-07-31,1.9959476701899126
2015-08-31,2.2504674199020025
2015-09-30,3.512457464362684
2015-10-31,-2.3875950831645953
2015-11-30,-0.03916930164361565
2015-12-31,0.529320816569534
2016-01-31,0.8268595023716241
2016-02-29,0.8399919283154755
2016-03-31,1.2807228947604665
2016-04-30,0.1277485529086464
2016-05-31,1.9426149598216425
2016-06-30,1.2138754833549426
2016-07-31,1.1802304665857744
2016-08-31,0.09260090922613706
2016-09-30,1.2675919671775615
2016-10-31,1.7281471126801895
2016-11-30,3.562474692677453
2016-12-31,2.341198283418322
2017-01-31,1.9709954011397857
2017-02-28,-2.2893530228510484
2017-03-31,2.8557677366689793
2017-04-30,1.873695410975773
2017-05-31,1.3573420813065118
2017-06-30,1.154907491627788
2017-07-31,0.7026427157210025
2017-08-31,0.8656939465396807
2017-09-30,1.489137659645845
2017-10-31,2.820593765641277
2017-11-30,2.168500540052798
2017-12-31,-0.366907070575917
2018-01-31,-0.39380844295281436
2018-02-28,0.9518995933249785
2018-03-31,2.769195580657735
2018-04-30,2.6040965782965886
2018-05-31,5.961136783117849
2018-06-30,-1.0767741651733553
2018-07-31,2.8583117069202357
2018-08-31,12.038442008442551
2018-09-30,-2.350967917402813
2018-10-31,-2.336395143633818
2018-11-30,-4.706332563908999
2018-12-31,2.617764584029847
2019-01-31,0.8625453248060522
2019-02-28,0.6392416184215932
2019-03-31,5.002727176261024
2019-04-30,3.4432896903756838
2019-05-31,1.448467454434188
2019-06-30,-0.4446405958782762
2019-07-31,0.8294655170896004
2019-08-31,4.038241670702791
2019-09-30,1.010004927826147
2019-10-31,2.0795221679414055
2019-11-30,0.8009480834458405
2019-12-31,4.305911083323544
2020-01-31,0.9083575508866293
2020-02-29,2.88623460167583
2020-03-31,4.520694355066146
2020-04-30,9.470847593699737
2020-05-31,-0.04659158992398327
2020-06-30,3.244236027047509
2020-07-31,4.34848718180505
2020-08-31,1.8648572077093473
2020-09-30,2.2648534101376017
2020-10-31,3.27346200216887
2020-11-30,-0.8200453220233217
2020-12-31,-0.8715369902909997
2021-01-31,-0.1162092465241793
2021-02-28,-1.029048008562372
2021-03-31,5.187067890706176
2021-04-30,2.9855707272610665
2021-05-31,3.647907549252194
2021-06-30,2.3598570706613753
2021-07-31,1.2297898633943483
2021-08-31,0.12255174567088467
2021-09-30,3.923384038936617
2021-10-31,6.16388354388151
2021-11-30,13.968121360481511
2021-12-31,5.136626761615637
2022-01-31,3.4468547890949885
2022-02-28,4.037682736782333
2022-03-31,5.452344797774011
2022-04-30,2.7387085215833107
2022-05-31,6.707515759894411
2022-06-30,5.952798651865421
2022-07-31,4.4601918867910095
2022-08-31,4.02394875587484
2022-09-30,3.2640893820829575
2022-10-31,3.8402877346800146
2022-11-30,2.0096548283919713
2022-12-31,3.549420984262208
2023-01-31,2.682403864811511
2023-02-28,2.9896758191527706
2023-03-31,4.306816807256997
2023-04-30,4.931112392489956
2023-05-31,-1.0170687644293186
2023-06-30,15.146856156590815
2023-07-31,5.943430568599561
2023-08-31,4.76408815903524
2023-09-30,2.6942322032711186
2023-10-31,3.3562968777822944
2023-11-30,2.245990900503436
2023-12-31,4.333376014863521
2024-01-31,0.9923076145055054
2024-02-29,1.4671953097721069
2024-03-31,2.3966668137305636
2024-04-30,1.9822157281287334
2024-05-31,1.859475153650525
2024-06-30,3.0312029409934382
2024-07-31,2.447421616276513
2024-08-31,3.8059143636647974
2024-09-30,1.9027
